Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
ASL 105 - Elem American Sign Lang I,34796,0500-LEC Regular,TBA,Online-Asynchronous,Edward Nevarez,Online Asynchronous,01/25/2024 - 05/22/2024,Closed
ASL 105 - Elem American Sign Lang I,34800,1000-LEC Regular,TuFr 10:00AM - 11:40AMFr 12:00PM - 12:50PM,Main Bldg S739Main Bldg S532,Edward Nevarez,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Wait
ASL 105 - Elem American Sign Lang I,36999,1700-LEC Regular,MoWe 5:25PM - 7:05PMMo 7:25PM - 8:15PM,Main Bldg S719Main Bldg S532,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
ASL 106 - Elem American Sign Lang II,34791,0500-LEC Regular,TBA,Online-Asynchronous,Edward Nevarez,Online Asynchronous,01/25/2024 - 05/22/2024,Open
ASL 106 - Elem American Sign Lang II,34794,1300-LEC Regular,Fr 3:00PM - 3:50PMTuFr 1:00PM - 2:40PM,Main Bldg S532Main Bldg N587,Edward Nevarez,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
