Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
SPAN 76000 - Sp Amer Lit Colonial Per,43464,01-LEC Regular,Th 5:30PM - 7:20PM,West Bldg W1344,Maria Fischer,In Person,01/25/2024 - 05/22/2024,Open
SPAN 79692 - Imag of Lab in Lat Am Art Lit,45086,01-LEC Regular,Mo 7:30PM - 9:20PM,Online-Synchronous,Ana Tello,Online Synchronous,01/25/2024 - 05/22/2024,Open
SPAN 79900 - Thesis Seminar,6976,01-THE Regular,TBA,TBA,TBA,In Person,-,Open
TRNS 75400 - English to Spanish Translation,10557,01-LEC Regular,Th 5:30PM - 8:00PM,West Bldg W1731,Natasha Tiniaco Ferrer,HyFlex,01/25/2024 - 05/22/2024,Open
TRNS 75600 - Span-Engl Medical Interpreting,10408,01-LEC Regular,Sa 11:10AM - 1:50PM,West Bldg W409,Christian Gonzalez,HyFlex,01/25/2024 - 05/22/2024,Open
