Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
SPAN 10300 - Intensive Elementary Spanish,9368,02-LEC Regular,Sa 1:30PM - 4:00PMSa 10:00AM - 12:30PM,West Bldg W707CWest Bldg W707C,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 10300 - Intensive Elementary Spanish,9369,03-LEC Regular,Su 1:30PM - 4:00PMSu 10:00AM - 12:30PM,West Bldg W405West Bldg W405,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 10300 - Intensive Elementary Spanish,9367,04-LEC Regular,Su 1:30PM - 4:00PMSu 10:00AM - 12:30PM,West Bldg W404West Bldg W404,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 10500 - Bas Rdg & Wrt Nat Spkr,8589,01-LEC Regular,TuFr 1:00PM - 2:15PM,TBA,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10600 - Oral & Wrt Sk for Nat,9141,01-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W509C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8721,01-LEC Regular,MoTh 8:30AM - 9:45AM,West Bldg W206,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8723,02-LEC Regular,TuWeFr 9:30AM - 10:20AM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8722,03-LEC Regular,TuFr 11:30AM - 12:45PM,West Bldg W424,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8724,04-LEC Regular,MoWeTh 12:30PM - 1:20PM,TBA,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8718,05-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8716,06-LEC Regular,Sa 1:10PM - 4:00PM,West Bldg W405,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8720,07-LEC Regular,TuFr 4:00PM - 5:15PM,West Bldg W504,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8719,08-LEC Regular,MoTh 10:00AM - 11:15AM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8717,09-LEC Regular,TuTh 7:00PM - 8:15PM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8730,10-LEC Regular,MoTh 2:30PM - 3:45PM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8729,11-LEC Regular,TuTh 5:30PM - 6:45PM,West Bldg W509,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8728,12-LEC Regular,MoWe 8:30PM - 9:45PM,West Bldg W408,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20100 - Intermediate Spanish I,8727,13-LEC Regular,TuFr 11:30AM - 12:45PM,West Bldg W605,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20100 - Intermediate Spanish I,8726,14-LEC Regular,TuFr 8:30AM - 9:45AM,North Bldg C107,TBA,In Person,01/25/2024 - 05/22/2024,Closed
SPAN 20100 - Intermediate Spanish I,8725,15-LEC Regular,MoWeTh 12:30PM - 1:20PM,TBA,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9191,01-LEC Regular,MoTh 8:30AM - 9:45AM,West Bldg W504,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20200 - Intermediate Spanish 2,9193,02-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Wait
